country,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Average HPI
Malawi,MWI,,38.3,48.9,,51.5,38.3,39.5,42.8,40.4,45.6,38.7,34.8,34.2,33.3,35.4,40.13076923
Malaysia,MYS,,60.1,62.4,58.1,53.8,55.8,57.9,59.1,57.7,59.6,63.2,58.77,58.77,53.4,53.8,58.03142857
Namibia,NAM,,,48.9,,52.0875,52.0875,52.0875,52.0875,52.0875,45.7,52.0875,52.0875,44.4,48.3,45.7,49.80104167
Niger,NER,,37.4,42.8,42.4,42.7,41,45.6,38,37.2,41.8,36.7,42.3,46.2,51.6,49.1,42.48571429
Nigeria,NGA,,47.1,48.9,49.4,49.8,47.6,51.0475,54.9,48.2,50.88,49.3,52.2,53.2,52.5,47.2,50.15910714
Nicaragua,NIC,,44.6,49.4,51,53.5,56.9,53.9,54.5,57.7,62.8,59.2,60.1,64.8,58.2,61.4,56.28571429
Netherlands,NLD,74.6,,74.5,76.3,74.49,75,75.6,74.7,74.1,73.2,73.2,75.4,74.6,74.6,74.5,74.62785714
Norway,NOR,,74.2,,76.3,75.47142857,75.47142857,75.47142857,76.8,75.47142857,74.4,76,76,75.8,74.4,74.9,75.43736264
Nepal,NPL,,45.7,47.5,44.4,49.2,43.5,38.1,42.3,46,49.8,48.1,51,47.4,49.1,51.4,46.67857143
New Zealand,NZL,,73.1,76,73.8,72.9,72.2,71.9,72.5,72.8,73.1,74.2,72.3,73.3,73.7,73,73.2
Oman,OMN,,,,,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5,68.5
Pakistan,PAK,52.2,,56.7,44.1,52.1,57.9,52.7,51.3,51.4,54.4,48.2,55.5,58.3,54.7,56.9,53.31428571
Panama,PAN,,61.3,68.9,69.3,70.3,73.2,72.5,68.6,68.7,66.3,66.1,61.2,65.7,62.8,63,66.99285714
Peru,PER,,48.1,52.1,51.3,55.2,56.1,58.9,58.2,57.8,58.7,55.8,57,57.1,56.8,58,55.79285714
Philippines,PHL,,46.7,50.7,45.9,48.8,49.4,49.9,50,49.8,53.1,55.5,54.3,55.9,58.7,60.1,52.05714286
Poland,POL,55.9,,58.9,,57.7,58.9,56.5,58.8,57.5,57.5,60.1,61.6,62,61.9,61.9,59.16923077
Portugal,PRT,,54.1,,57.2,53.66,50.9,52.2,49.9,51.6,51.3,50.8,54.5,57.1,59.2,59.1,53.96615385
Paraguay,PRY,,47.3,52.7,55.7,55.8,58.4,56.8,58.2,59.4,51.2,55.6,58,57.1,56.9,56.9,55.71428571
Palestine,PSE,,47.2,41.5,43.9,44.7,47,47.5,46.5,48.4,47.2,47,49.1,46.3,45.5,45.5,46.23571429
Qatar,QAT,,,,,64.2,68.5,65.9,66.1,63.7,63.7,63.7,63.7,63.7,63.7,63.7,64.6
Romania,ROU,50.5,,53.9,,53.7,49.1,50.2,51.7,50.8,57.3,57.8,59.7,60.9,61.5,61.2,55.25384615
Russia,RUS,,49.6,52.2,56.2,51.6,53.8,53.9,56.2,55.4,60.4,60,58.5,55.8,55.1,55.5,55.3
Rwanda,RWA,,42.1,,43.6,40.3,34.76666667,41,33.3,34.7,36,34.8,33.3,31.1,35.6,33.1,36.43589744
Saudi Arabia,SAU,70.8,,72.7,68.1,61.5,63.1,67,64,65,62.8,63.5,64.7,62.9,63.6,64.1,65.27142857
Sudan,SDN,,,,,44.5,44.4,43.1,45.5,41.4,41.4,41.4,41.4,41.4,41.4,41.4,42.48181818
Senegal,SEN,,44.2,46.8,46.8,43.4,43.7,38.3,36.7,36.5,43.9,46.2,45.9,46.8,47.7,49.8,44.05
Singapore,SGP,,64.6,68.3,66.4,61.4,65.3,65.6,64.81428571,65.3,70.6,66.2,60.3,63.8,63.7,63.8,65.00816327
Sierra Leone,SLE,,36.3,35.9,30,44.01111111,41.3,45,44.01111111,45.1,45,49.1,47.3,40.9,43.1,39.3,41.88015873
El Salvador,SLV,,57,53,51.9,68.4,67.4,47.4,59.3,63.3,58.6,60.2,61.4,63.4,62.8,63.5,59.82857143
Somalia,SOM,,,,,49.9,46.6,49.3,50.6,51.83333333,55.3,53.5,46.7,51.83333333,51.83333333,51.83333333,50.83939394
Serbia,SRB,,,47.5,,43.8,44.6,48.2,51.5,51,51.1,53.2,57.5,51.2,59.4,57.8,51.4
South Sudan,SSD,,,,,32.86,32.86,32.86,32.86,32.86,38.3,40.7,28.9,28.2,32.86,28.2,32.86
Suriname,SUR,,,,,62.7,62.7,62.7,62.7,62.7,62.7,62.7,62.7,62.7,62.7,62.7,62.7
Slovak Republic,SVK,,52.6,,,61.03,60.5,59.5,59.1,59.4,61.4,61.6,59.9,63.7,62.4,62.8,60.3275
Slovenia,SVN,,58.1,,,58.3,60.8,60.4,60.6,59.7,56.8,57.4,59.4,61.7,62.5,63.6,59.94166667
Sweden,SWE,73.8,,72.4,75.2,72.7,75,73.8,75.6,74.3,72.4,72.9,73.7,72.9,73.7,73.5,73.70714286
Eswatini,SWZ,,,,,44.63333333,44.63333333,48.7,44.63333333,44.63333333,44.63333333,44.63333333,44.63333333,44.63333333,42.1,43.1,44.63333333
Syria,SYR,,,,53.2,49.8,44.6,40.4,31.6,26.9,34.6,34.6,34.6,34.6,34.6,34.6,37.84166667
Chad,TCD,,34.3,41.4,46.3,36.4,37.4,43.9,40.3,35.1,34.6,43.2,40.3,45.6,44.9,44.2,40.56428571
Togo,TGO,,32,,28.1,37.40095238,37.14285714,29.4,38.43333333,38.43333333,28.4,37.7,38.8,43.6,40.2,41.9,36.27003663
Thailand,THA,,58.9,57.8,56.4,54.8,62.2,66.6,63,62.3,69.9,62,60.7,59.4,60.1,60,61.00714286
Tajikistan,TJK,,46.1,44.3,50.6,45.8,43.8,42.6,45,49.7,49,51.2,51,58.3,55.6,55.6,49.18571429
Turkmenistan,TKM,,,,,65.7,54.53333333,57.9,54.6,53.9,57.9,57.9,58.9,52.3,46.2,51.2,55.54848485
Trinidad and Tobago,TTO,,58.3,,67,62.5975,62.675,65.2,62.675,61.7,62.675,62.675,62.675,61.9,61.9,61.9,62.60557692
Tunisia,TUN,,,,,50.3,51.3,48.8,44.6,52.5,47.6,51.3,45.2,41.2,47.4,43.9,47.64545455
Turkey,TUR,47.2,,56.2,51.2,52.1,54.9,52.7,53.1,48.9,55.8,55.1,53.3,56.1,51.9,51.3,52.84285714
Tanzania,TZA,,39.2,43.2,43.8,34.1,32.3,40.7,40.1,38.5,34.8,36.6,29,33.5,34.5,34.8,36.79285714
Uganda,UGA,,37.3,44.6,45.7,46.1,41.9,48.3,43.1,37.1,37.7,42.4,42.3,40,43.2,44.3,42.42857143
Ukraine,UKR,,48,52.5,51.7,51.7,50.6,50.8,50.3,47.1,43,39.6,40.3,43.1,46.6,45.6,47.20714286
Uruguay,URY,,57.9,56.9,56.6,63,60.6,65.5,64.5,64.4,65.6,66.3,61.7,63.4,63.7,64.4,62.46428571
United States,USA,,71.8,75.1,72.8,71.6,71.6,71.2,70.3,72.5,71.5,68.6,68,69.9,68.8,69.4,70.93571429
Uzbekistan,UZB,,52.3,,53.1,52.6,51,57.4,60.2,59.4,60.5,59.7,58.9,64.2,62.1,62.6,58
Venezuela,VEN,71.7,65.3,,62.6,71.9,74.8,65.8,70.7,65.5,61.4,55.7,40.4,50.7,50.1,50.5,61.22142857
Vietnam,VNM,,52.9,54.2,54.8,53,53,57.7,55.3,50.2,50.8,50.8,50.6,51.8,53,53.5,52.97142857
Yemen,YEM,,,44.8,,48.1,43.5,37.5,40.6,42.2,39.7,29.8,38.3,32.5,30.6,35.3,38.575
South Africa,ZAF,,50.8,52,53.5,52.2,46.5,49.3,51.3,36.6,48.3,48.9,47.7,45.1,48.8,48.1,48.50714286
Zambia,ZMB,,48.2,40,47.3,52.6,45.02222222,50,50.1,52.4,43.5,48.4,43.5,39.3,40.4,37.6,45.59444444
Zimbabwe,ZWE,,38.3,32.8,31.7,40.6,46.8,48.5,49.6,46.9,41.8,37,37.4,36.4,36.2,33,39.78571429
