Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Croatia,HRV,11399.77534,11959.92321,12550.23395,12789.6358,11870.794,11748.94483,11779.52999,11546.70174,11536.86016,11543.87628,11933.37738,12441.50254,13021.67166,13519.55883,14068.04453
Haiti,HTI,1283.897146,1285.703399,1324.870681,1338.763435,1395.705502,1296.805666,1342.543642,1329.465754,1366.992645,1370.986894,1386.854191,1393.176577,1409.632537,1414.999409,1373.883104
Hungary,HUN,11282.92991,11746.63121,11797.42897,11937.04911,11167.02945,11313.52289,11556.67264,11470.40343,11709.80143,12237.31167,12720.71202,13037.96469,13630.68824,14379.4442,15041.09858
Indonesia,IDN,2199.093914,2289.422012,2402.667542,2513.671592,2595.298759,2720.191622,2849.354985,2980.61011,3104.348,3217.317468,3331.695115,3456.928114,3589.715543,3732.867111,3877.382977
India,IND,953.567973,1014.627641,1075.994087,1093.076551,1162.498808,1244.366016,1292.821206,1346.67591,1415.828722,1503.421507,1605.605445,1719.318076,1816.730876,1915.435271,1972.757821
Ireland,IRL,49361.92019,50441.97552,51604.51863,48294.54102,45368.15623,45913.54544,46202.22879,45982.77713,46320.83716,49990.32605,61987.551,62543.46906,67397.11868,72578.43784,75112.80503
Iran,IRN,4634.010618,4811.05424,5146.412623,5103.227951,5097.791086,5332.108057,5409.202243,4946.536128,4876.124506,5035.816022,4904.327315,5486.407964,5614.117876,5203.16947,4785.027876
Iraq,IRQ,3493.344742,3619.885906,3626.945884,3859.758174,3909.291582,4052.062613,4218.382369,4630.736522,4793.539392,4627.834818,4688.318017,5183.408969,4961.404508,4975.381048,5154.276848
Iceland,ISL,48850.76586,50731.69069,53646.36902,53821.47082,49527.39883,48193.7014,48933.54566,49191.57442,50946.81626,51233.24405,52951.68151,55513.6423,56501.45768,57699.45893,57818.85946
Israel,ISR,28809.64251,29939.93719,31207.60199,31718.48915,31323.31201,32504.71335,33678.13146,33995.42769,34960.94336,35710.88627,35808.43643,36680.32213,37550.72769,38301.45366,38995.23045
Italy,ITA,33244.39755,33738.12916,34067.38703,33516.87829,31602.55897,32045.28407,32216.498,31172.01976,30245.46146,29967.86442,30230.2263,30673.30784,31231.66445,31580.77718,32078.09159
Jamaica,JAM,5138.44741,5259.748096,5308.440332,5239.532824,4986.816494,4888.579138,4945.948846,4887.586951,4884.392,4889.986309,4907.927415,4949.369484,4973.724172,5043.54079,5065.374889
Jordan,JOR,4341.188718,4515.591134,4678.835063,4786.748451,4781.60509,4644.16937,4521.40808,4386.745095,4274.547909,4221.089517,4164.108769,4119.252115,4105.720951,4109.752429,4133.549805
Japan,JPN,33098.54747,33531.51856,33990.03603,33557.6454,31651.08377,32942.20208,33011.13423,33518.44494,34239.88625,34386.90586,34960.63938,35264.81336,35914.64127,36188.62003,36362.35732
Kazakhstan,KAZ,7155.343663,7837.629145,8438.104645,8554.823573,8487.54483,8979.332284,9506.734053,9823.693897,10264.29807,10539.04468,10510.77189,10476.34757,10758.52088,11053.36206,11402.76011
Kenya,KEN,1195.773841,1238.537024,1287.24979,1255.025094,1261.348515,1326.385821,1357.253632,1381.968708,1397.378658,1430.445225,1464.554009,1489.758779,1510.581385,1559.243695,1600.128419
Kyrgyz Republic,KGZ,820.7159801,837.1337991,900.0255139,966.4153604,982.3771732,966.15073,1011.315529,993.7374233,1080.54823,1101.705332,1121.082835,1146.103221,1177.438736,1197.610724,1226.824464
Cambodia,KHM,696.3394218,759.6475658,824.8493502,867.1214601,854.9557547,892.1004421,940.1118195,992.5498342,1048.132495,1104.74997,1162.904995,1224.220428,1289.985814,1365.829057,1441.179228
South Korea,KOR,21193.35751,22192.18512,23360.90574,23882.7305,23948.47224,25451.00416,26186.89754,26675.44017,27394.65031,28094.9177,28732.23108,29461.78401,30307.39524,31040.65545,31674.31152
Kuwait,KWT,39849.59691,40976.67686,41170.67079,39777.28691,34800.30883,32035.37848,33166.91962,33455.23897,32136.13317,30857.16042,29869.55275,29801.23802,27702.18785,27496.84619,27156.47535
Lao,LAO,1172.217346,1252.693903,1325.441644,1405.123505,1485.476562,1586.20293,1687.147369,1795.137631,1910.531051,2025.47216,2140.044323,2255.311879,2373.597379,2483.161575,2579.253661
Lebanon,LBN,6682.651565,6699.231282,7311.317268,7978.744777,8706.915476,9135.500685,8773.738319,8451.412881,8216.500456,7950.171897,7663.920232,7574.603545,7516.194447,7345.134054,6823.104085
Liberia,LBR,553.5675654,578.1373364,608.9904212,626.1105538,633.6106467,648.5526835,679.7146383,713.0672979,754.4584876,740.3759591,721.5810505,692.6188889,692.2030424,683.2512964,650.4133691
